Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,1050.70,nan,nan,Org
0,0.001974,843.49,nan,5170.200000,adder_0-0-19
1,0.003831,865.83,nan,5106.910000,adder_1-1-9
2,0.005754,852.53,nan,5075.160000,adder_2-0-17
3,0.007597,867.96,nan,4996.990000,adder_3-0-11
