Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,1050.70,nan,nan
adder_0-0-0,0.001942,972.50,nan,4732.380000
adder_0-0-1,0.003812,813.16,nan,5259.230000
adder_0-0-2,0.001838,979.15,nan,4574.160000
adder_0-0-3,0.002005,981.54,nan,4618.050000
adder_0-0-4,0.001859,970.37,nan,4720.780000
adder_0-0-5,0.003750,961.32,nan,4586.120000
adder_0-0-6,0.001961,904.40,nan,5008.470000
adder_0-0-7,0.001842,903.07,nan,4988.470000
adder_0-0-8,0.002029,873.54,nan,5062.050000
adder_0-0-9,0.007838,870.62,nan,4283.540000
adder_0-0-10,0.004000,892.70,nan,4866.250000
adder_0-0-11,0.001885,858.12,nan,5138.540000
adder_0-0-12,0.003740,833.64,nan,5035.520000
adder_0-0-13,0.003717,854.39,nan,4854.440000
adder_0-0-14,0.006587,820.61,nan,5082.330000
adder_0-0-15,0.002011,1002.02,nan,4533.190000
adder_0-0-16,0.001992,975.42,nan,4736.190000
adder_0-0-17,0.001898,983.93,nan,4606.640000
adder_0-0-18,0.003812,836.04,nan,5191.530000
adder_0-0-19,0.001974,843.49,nan,5170.200000
adder_1-0-0,0.003979,920.36,nan,4904.560000
adder_1-0-1,0.005786,814.23,nan,5201.710000
adder_1-0-2,0.005972,863.44,nan,5019.790000
adder_1-0-3,0.003850,931.80,nan,4958.010000
adder_1-0-4,0.003916,883.92,nan,4986.570000
adder_1-0-5,0.003812,916.37,nan,4951.880000
adder_1-0-6,0.004003,869.02,nan,5043.710000
adder_1-0-7,0.009812,857.85,nan,4280.470000
adder_1-0-8,0.005725,878.07,nan,5028.240000
adder_1-0-9,0.005856,836.30,nan,5175.780000
adder_1-0-10,0.003985,925.95,nan,4895.100000
adder_1-0-11,0.003833,932.06,nan,4925.610000
adder_1-0-12,0.003877,883.65,nan,5035.600000
adder_1-0-13,0.005714,835.77,nan,5092.330000
adder_1-0-14,0.003924,891.90,nan,5087.900000
adder_1-0-15,0.003816,914.24,nan,4973.700000
adder_1-0-16,0.008561,872.21,nan,4909.000000
adder_1-0-17,0.003967,896.42,nan,4971.070000
adder_1-0-18,0.003940,988.72,nan,4825.800000
adder_1-0-19,0.005793,864.77,nan,4948.400000
adder_1-0-0,0.003994,869.55,nan,5040.400000
