Ranking,Metric,Area(um^2),Power(uW),Delay(ns)
1,0.015656,38.57,nan,nan
2,0.031189,27.93,nan,nan
3,0.033811,18.35,nan,nan
4,0.260696,15.43,nan,nan
5,0.369386,14.10,nan,nan
6,0.371107,10.91,nan,nan
7,0.428399,9.04,nan,nan
8,0.430308,5.32,nan,nan
