Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,92.83,nan,nan,Org
0,0.000925,82.46,nan,nan,adder16_0-0-2
1,0.001074,75.28,nan,nan,adder16_1-0-2
2,0.000939,75.81,nan,nan,adder16_2-1-2
3,0.000939,71.55,nan,nan,adder16_3-0-3
4,0.001172,64.37,nan,nan,adder16_4-2-2
5,0.001175,60.12,nan,nan,adder16_5-0-3
6,0.001229,55.86,nan,nan,adder16_6-0-2
7,0.001774,44.69,nan,nan,adder16_7-0-2
8,0.017063,43.89,nan,nan,adder16_8-0-1
9,0.031789,38.04,nan,nan,adder16_9-1-1
10,0.031789,33.78,nan,nan,adder16_10-0-2
11,0.033992,26.07,nan,nan,adder16_11-1-1
12,0.033991,21.81,nan,nan,adder16_12-0-1
13,0.257005,21.28,nan,nan,adder16_13-0-0
14,0.367890,15.69,nan,nan,adder16_14-0-0
15,0.427569,10.11,nan,nan,adder16_15-0-0
