Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,92.83,nan,nan
adder16_0-0-0,0.248502,91.24,nan,nan
adder16_0-0-1,0.015750,94.70,nan,nan
adder16_0-0-2,0.000925,82.46,nan,nan
adder16_0-0-3,0.000015,93.90,nan,nan
adder16_1-0-0,0.249166,81.66,nan,nan
adder16_1-0-1,0.016397,84.59,nan,nan
adder16_1-0-2,0.001074,75.28,nan,nan
adder16_1-0-3,0.000928,84.59,nan,nan
adder16_1-1-0,0.374253,83.52,nan,nan
adder16_1-1-1,0.254989,90.97,nan,nan
adder16_1-1-2,0.248512,89.38,nan,nan
adder16_1-2-0,0.032847,87.51,nan,nan
adder16_1-2-1,0.015749,93.10,nan,nan
adder16_2-0-0,0.249490,75.01,nan,nan
adder16_2-0-1,0.016509,79.53,nan,nan
adder16_2-0-2,0.001176,71.55,nan,nan
adder16_2-0-3,0.001074,77.14,nan,nan
adder16_2-1-0,0.249024,79.00,nan,nan
adder16_2-1-1,0.016381,82.99,nan,nan
adder16_2-1-2,0.000939,75.81,nan,nan
adder16_2-2-0,0.255696,81.40,nan,nan
adder16_2-2-1,0.032899,74.75,nan,nan
adder16_3-0-0,0.248965,74.21,nan,nan
adder16_3-0-1,0.016492,73.68,nan,nan
adder16_3-0-2,0.001076,70.22,nan,nan
adder16_3-0-3,0.000939,71.55,nan,nan
adder16_3-1-0,0.249665,69.96,nan,nan
adder16_3-1-1,0.016585,73.42,nan,nan
adder16_3-1-2,0.001231,66.23,nan,nan
adder16_3-1-3,0.001173,71.82,nan,nan
adder16_3-2-0,0.249344,73.68,nan,nan
adder16_3-2-1,0.016493,76.87,nan,nan
adder16_4-0-0,0.248969,69.96,nan,nan
adder16_4-0-1,0.016492,70.49,nan,nan
adder16_4-0-2,0.001077,66.77,nan,nan
adder16_4-1-0,0.249754,63.31,nan,nan
adder16_4-1-1,0.016625,70.49,nan,nan
adder16_4-1-2,0.001781,56.92,nan,nan
adder16_4-1-3,0.001229,68.36,nan,nan
adder16_4-2-0,0.249284,68.63,nan,nan
adder16_4-2-1,0.016591,69.16,nan,nan
adder16_4-2-2,0.001172,64.37,nan,nan
adder16_5-0-0,0.249456,61.71,nan,nan
adder16_5-0-1,0.016662,62.24,nan,nan
adder16_5-0-2,0.001225,60.65,nan,nan
adder16_5-0-3,0.001175,60.12,nan,nan
adder16_5-1-0,0.249289,65.17,nan,nan
adder16_5-1-1,0.016592,65.70,nan,nan
adder16_5-2-0,0.249283,54.80,nan,nan
adder16_5-2-1,0.017069,56.13,nan,nan
adder16_5-2-2,0.001781,54.80,nan,nan
adder16_6-0-0,0.249462,57.72,nan,nan
adder16_6-0-1,0.016664,61.98,nan,nan
adder16_6-0-2,0.001229,55.86,nan,nan
adder16_6-1-0,0.249544,57.19,nan,nan
adder16_6-1-1,0.016699,61.71,nan,nan
adder16_6-1-2,0.001766,48.94,nan,nan
adder16_6-2-0,0.249283,52.67,nan,nan
adder16_6-2-1,0.017069,54.00,nan,nan
adder16_7-0-0,0.249550,54.26,nan,nan
adder16_7-0-1,0.016702,57.19,nan,nan
adder16_7-0-2,0.001774,44.69,nan,nan
adder16_7-1-0,0.249268,47.35,nan,nan
adder16_7-1-1,0.017057,48.15,nan,nan
adder16_7-2-0,0.255983,51.07,nan,nan
adder16_7-2-1,0.033009,48.41,nan,nan
adder16_8-0-0,0.249275,42.56,nan,nan
adder16_8-0-1,0.017063,43.89,nan,nan
adder16_8-1-0,0.255969,45.22,nan,nan
adder16_8-1-1,0.033010,42.56,nan,nan
adder16_8-2-0,0.256149,50.81,nan,nan
adder16_8-2-1,0.032895,46.55,nan,nan
adder16_9-0-0,0.255976,40.96,nan,nan
adder16_9-0-1,0.033009,38.30,nan,nan
adder16_9-1-0,0.254623,40.43,nan,nan
adder16_9-1-1,0.031789,38.04,nan,nan
adder16_9-2-0,0.254544,44.42,nan,nan
adder16_9-2-1,0.031687,41.50,nan,nan
adder16_10-0-0,0.258315,34.58,nan,nan
adder16_10-0-1,0.034336,30.86,nan,nan
adder16_10-0-2,0.031789,33.78,nan,nan
adder16_10-1-0,0.254627,36.18,nan,nan
adder16_10-2-0,0.258226,38.84,nan,nan
adder16_10-2-1,0.034048,36.71,nan,nan
adder16_11-0-0,0.258319,30.32,nan,nan
adder16_11-0-1,0.034335,26.60,nan,nan
adder16_11-1-0,0.256133,30.06,nan,nan
adder16_11-1-1,0.033992,26.07,nan,nan
adder16_11-2-0,0.258147,33.52,nan,nan
adder16_11-2-1,0.033697,29.79,nan,nan
adder16_12-0-0,0.257001,25.54,nan,nan
adder16_12-0-1,0.033991,21.81,nan,nan
adder16_12-1-0,0.256137,25.80,nan,nan
adder16_12-2-0,0.259055,26.87,nan,nan
adder16_13-0-0,0.257005,21.28,nan,nan
adder16_13-1-0,0.367883,19.95,nan,nan
adder16_13-2-0,0.366166,19.68,nan,nan
adder16_14-0-0,0.367890,15.69,nan,nan
adder16_14-1-0,0.425639,14.63,nan,nan
adder16_14-2-0,0.427561,13.83,nan,nan
adder16_15-0-0,0.427569,10.11,nan,nan
