Name,Metric,Area(um^2),Power(uW),Delay(ns)
max_1-0-7,0.002915,2126.94,nan,8138.820000
max_1-0-8,0.002667,2186.25,nan,8084.050000
max_1-0-9,0.004772,2124.28,nan,8118.030000
max_1-0-10,0.001925,2318.46,nan,6983.740000
max_1-0-12,0.002879,2068.95,nan,8226.340000
max_1-0-13,0.004826,2132.26,nan,8100.560000
max_1-0-14,0.002921,2148.22,nan,8211.450000
max_1-0-15,0.002886,2067.35,nan,8160.780000
max_1-0-16,0.004840,2123.74,nan,8119.110000
max_1-0-17,0.004012,2159.39,nan,6840.840000
max_1-0-18,0.002415,2374.32,nan,7090.010000
max_1-0-19,0.002388,2072.67,nan,8101.560000
max_1-0-20,0.002855,2311.54,nan,6969.960000
max_1-0-21,0.002625,2196.10,nan,8165.580000
max_1-0-22,0.004783,2129.60,nan,8139.220000
max_1-0-23,0.002908,2124.54,nan,8113.630000
max_1-0-24,0.002669,2180.67,nan,8092.350000
max_1-0-25,0.002668,2116.83,nan,8134.250000
max_1-0-26,0.002915,2246.64,nan,6899.950000
max_1-0-27,0.004396,2039.69,nan,6654.390000
max_1-0-28,0.002903,2159.65,nan,8206.200000
max_1-0-29,0.004390,2041.82,nan,6640.360000
max_1-0-30,0.002462,2130.93,nan,8146.670000
max_1-0-31,0.004835,2123.74,nan,8115.360000
max_1-0-32,0.004702,2134.65,nan,8062.690000
max_1-0-33,0.002874,2139.70,nan,8113.980000
max_1-0-34,0.002912,2345.59,nan,6670.890000
max_1-0-35,0.002851,2127.73,nan,8144.760000
max_1-0-36,0.004811,2339.47,nan,6713.150000
max_1-0-37,0.002892,2067.09,nan,8162.010000
max_1-0-38,0.004830,2123.74,nan,8123.160000
max_1-0-39,0.003799,2148.22,nan,8111.590000
max_1-0-40,0.001988,2122.95,nan,8141.370000
max_1-0-41,0.002663,2135.71,nan,8249.090000
max_1-0-42,0.004734,2131.19,nan,8155.690000
max_1-0-43,0.003335,2285.21,nan,6698.520000
max_1-0-44,0.002413,2248.50,nan,8229.070000
max_1-0-45,0.002917,2298.77,nan,6686.090000
max_1-0-46,0.002716,2185.72,nan,8123.790000
max_1-0-47,0.002410,2116.03,nan,8219.030000
max_1-0-48,0.004856,2194.23,nan,8102.680000
max_1-0-49,0.002943,2140.24,nan,8151.320000
max_1-0-50,0.004531,2184.66,nan,6981.480000
max_1-0-51,0.002895,2179.60,nan,6782.970000
max_1-0-52,0.002672,2319.79,nan,7072.960000
max_1-0-53,0.004844,2124.28,nan,8132.530000
max_1-0-54,0.004791,2141.83,nan,7065.890000
max_1-0-55,0.002872,2065.22,nan,8150.310000
max_1-0-56,0.002857,2078.26,nan,8150.330000
max_1-0-57,0.003921,2131.46,nan,6801.650000
max_1-0-58,0.004745,2177.74,nan,6780.240000
max_1-0-59,0.005049,2129.86,nan,8248.740000
max_1-0-60,0.007615,2283.61,nan,6725.110000
max_1-0-61,0.005991,2198.76,nan,6895.040000
max_1-0-62,0.002918,2133.59,nan,5718.390000
max_1-0-63,0.001462,2353.04,nan,8178.740000
max_1-0-64,0.004765,2127.20,nan,8129.050000
max_1-0-65,0.004647,2123.74,nan,8127.420000
max_1-0-66,0.002974,2064.96,nan,8147.670000
max_1-0-67,0.002987,2143.69,nan,8119.940000
max_1-0-68,0.004815,2122.95,nan,8124.140000
max_1-0-69,0.002875,2128.00,nan,8141.310000
max_1-0-70,0.004805,2126.14,nan,8117.750000
max_1-0-71,0.002945,2229.88,nan,8170.670000
max_1-0-72,0.002953,2142.10,nan,8121.830000
max_1-0-73,0.002904,2188.12,nan,6802.450000
max_1-0-74,0.004409,2013.62,nan,6581.620000
max_1-0-75,0.002938,2185.72,nan,6868.750000
max_1-0-76,0.002712,2138.91,nan,8249.730000
max_1-0-77,0.004303,2147.15,nan,8140.470000
max_1-0-78,0.002784,2075.33,nan,8103.750000
max_1-0-79,0.002664,2073.20,nan,8209.200000
max_1-0-80,0.004865,2238.92,nan,6743.600000
max_1-0-81,0.002676,2225.09,nan,7066.270000
max_1-0-82,0.004932,2342.93,nan,6874.620000
max_1-0-83,0.002197,2199.02,nan,8078.670000
max_1-0-84,0.004755,2062.30,nan,8165.590000
max_1-0-85,0.002951,2055.38,nan,8123.950000
max_1-0-86,0.004845,2125.87,nan,8118.570000
max_1-0-87,0.002875,2184.39,nan,7772.230000
max_1-0-88,0.002889,2127.20,nan,8148.420000
max_1-0-89,0.002892,2156.99,nan,8263.520000
max_1-0-90,0.004596,2187.85,nan,7436.380000
max_1-0-91,0.001981,2136.51,nan,8158.600000
max_1-0-92,0.004800,2124.01,nan,8116.080000
max_1-0-93,0.004362,2070.54,nan,7638.180000
max_1-0-94,0.003887,2126.67,nan,8130.590000
max_1-0-95,0.002904,2312.34,nan,6981.380000
max_1-0-96,0.004792,2103.26,nan,6902.490000
max_1-0-97,0.002630,2249.03,nan,8097.990000
max_1-0-98,0.002438,2186.25,nan,8108.430000
max_1-0-99,0.004842,2131.46,nan,6727.580000
max_1-0-100,0.004821,2126.14,nan,8099.590000
max_1-0-101,0.004587,2106.19,nan,7609.320000
max_1-0-102,0.002941,2373.52,nan,7083.960000
max_1-0-103,0.002642,2130.39,nan,8124.250000
max_1-0-104,0.002792,2129.86,nan,8127.760000
max_1-0-105,0.002932,2108.85,nan,8113.580000
max_1-0-106,0.001968,2170.03,nan,7122.680000
max_1-0-107,0.003788,2133.05,nan,6726.320000
max_1-0-108,0.003488,2113.10,nan,7173.550000
max_1-0-109,0.004555,2125.61,nan,7422.650000
max_1-1-0,0.004706,2287.87,nan,7098.690000
max_1-1-1,0.004848,2135.98,nan,8122.930000
max_1-1-2,0.001955,2167.10,nan,8092.970000
max_1-1-3,0.002946,2138.64,nan,8147.230000
max_1-1-4,0.002931,2137.31,nan,8122.330000
max_1-1-5,0.004851,2138.91,nan,8130.400000
max_1-1-6,0.002916,2051.39,nan,8091.370000
max_1-1-7,0.002934,2138.64,nan,8147.230000
max_1-1-8,0.002686,2144.76,nan,8160.680000
max_1-1-9,0.004792,2135.98,nan,8126.680000
max_1-1-10,0.001944,2238.12,nan,6966.410000
max_1-1-12,0.002898,2112.84,nan,8077.140000
max_1-1-13,0.004845,2141.03,nan,8102.500000
max_1-1-14,0.002940,2195.83,nan,8051.910000
max_1-1-15,0.002905,2073.74,nan,8115.660000
max_1-1-16,0.004859,2135.45,nan,8127.710000
max_1-1-17,0.004031,2177.21,nan,6965.350000
max_1-1-18,0.002434,2482.58,nan,7080.320000
max_1-1-19,0.002408,2154.07,nan,8090.540000
max_1-1-20,0.002874,2232.27,nan,6949.680000
max_1-1-21,0.002644,2176.41,nan,8131.060000
max_1-1-22,0.004802,2138.37,nan,8138.130000
max_1-1-23,0.002927,2133.85,nan,8113.920000
max_1-1-24,0.002688,2142.63,nan,8144.170000
max_1-1-25,0.002688,2141.57,nan,8141.050000
max_1-1-26,0.002934,2296.91,nan,6737.540000
max_1-1-27,0.004415,2150.88,nan,6830.440000
max_1-1-28,0.002922,2200.62,nan,8052.480000
max_1-1-29,0.004409,2149.81,nan,6810.670000
max_1-1-30,0.002482,2143.16,nan,8162.730000
max_1-1-31,0.004854,2135.45,nan,8124.120000
max_1-1-32,0.004715,2141.30,nan,8054.610000
max_1-1-33,0.002893,2145.29,nan,8110.210000
max_1-1-34,0.002931,2233.87,nan,6961.330000
max_1-1-35,0.002870,2138.91,nan,8157.820000
max_1-1-36,0.004830,2343.99,nan,6720.990000
max_1-1-37,0.002911,2070.54,nan,8120.930000
max_1-1-38,0.004849,2135.45,nan,8131.910000
max_1-1-39,0.004799,2148.22,nan,8149.950000
max_1-1-40,0.002682,2139.97,nan,8144.430000
max_1-1-41,0.004753,2142.36,nan,8172.090000
max_1-1-42,0.003354,2286.00,nan,6705.670000
max_1-1-43,0.002432,2257.28,nan,8110.590000
max_1-1-44,0.002936,2303.56,nan,6862.810000
