Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,2296.38,nan,nan,Org
0,0.000981,2126.94,nan,8145.760000,max_0-0-40
1,0.002865,2026.12,nan,5282.840000,max_1-2-96
2,0.004760,1889.40,nan,5879.070000,max_2-0-87
3,0.004790,1925.04,nan,8141.960000,max_3-1-98
4,0.007712,1777.41,nan,5976.720000,max_4-1-40
