Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,150.56,nan,nan,Org
0,0.000000,156.94,nan,nan,buttfly_0-0-2
1,0.000000,156.41,nan,nan,buttfly_1-0-3
2,0.000000,153.22,nan,nan,buttfly_2-0-1
3,0.124762,147.63,nan,nan,buttfly_3-2-1
