Ranking,Metric,Area(um^2),Power(uW),Delay(ns)
1,0.001838,979.15,nan,4574.160000
2,0.001842,903.07,nan,4988.470000
3,0.001885,858.12,nan,5138.540000
4,0.001923,843.49,nan,5188.830000
5,0.001974,843.49,nan,5170.200000
6,0.001991,834.18,nan,4954.440000
7,0.003740,833.64,nan,5035.520000
8,0.003812,813.16,nan,5259.230000
9,0.005809,894.03,nan,4995.160000
10,0.008502,811.83,nan,5108.070000
11,0.009646,807.84,nan,5112.210000
