Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,40.70,nan,nan,Org
0,0.015656,38.57,nan,nan,adder8_0-0-1
1,0.032045,33.52,nan,nan,adder8_1-0-1
2,0.031189,27.93,nan,nan,adder8_2-0-1
3,0.034094,22.88,nan,nan,adder8_3-0-1
4,0.033811,18.35,nan,nan,adder8_4-0-1
5,0.260696,15.43,nan,nan,adder8_5-0-0
6,0.371107,10.91,nan,nan,adder8_6-0-0
7,0.430308,5.32,nan,nan,adder8_7-0-0
