Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,40.70,nan,nan
adder8_0-0-0,0.251468,37.77,nan,nan
adder8_0-0-1,0.015656,38.57,nan,nan
adder8_1-0-0,0.257889,37.24,nan,nan
adder8_1-0-1,0.032045,33.52,nan,nan
adder8_1-1-0,0.376712,33.78,nan,nan
adder8_2-0-0,0.256834,30.86,nan,nan
adder8_2-0-1,0.031189,27.93,nan,nan
adder8_2-1-0,0.439335,27.40,nan,nan
adder8_2-1-1,0.378088,29.79,nan,nan
adder8_3-0-0,0.260656,25.54,nan,nan
adder8_3-0-1,0.034094,22.88,nan,nan
adder8_3-1-0,0.365727,25.27,nan,nan
adder8_3-2-0,0.439564,26.60,nan,nan
adder8_4-0-0,0.259771,20.75,nan,nan
adder8_4-0-1,0.033811,18.35,nan,nan
adder8_4-1-0,0.372638,19.95,nan,nan
adder8_4-2-0,0.424554,20.22,nan,nan
adder8_5-0-0,0.260696,15.43,nan,nan
adder8_5-1-0,0.369386,14.10,nan,nan
adder8_5-2-0,0.432195,14.90,nan,nan
adder8_6-0-0,0.371107,10.91,nan,nan
adder8_6-1-0,0.428399,9.04,nan,nan
adder8_7-0-0,0.430308,5.32,nan,nan
