Ranking,Metric,Area(um^2),Power(uW),Delay(ns)
1,0.001838,979.15,nan,4574.160000
2,0.001842,903.07,nan,4988.470000
3,0.001885,858.12,nan,5138.540000
4,0.001974,843.49,nan,5170.200000
5,0.003740,833.64,nan,5035.520000
6,0.003812,836.04,nan,5191.530000
7,0.009790,808.37,nan,4405.630000
