Ranking,Metric,Area(um^2),Power(uW),Delay(ns)
1,0.000000,199.50,nan,nan
2,0.000000,194.71,nan,nan
3,0.000000,192.85,nan,nan
4,0.000000,188.86,nan,nan
5,0.000000,163.59,nan,nan
6,0.000000,160.93,nan,nan
7,0.000000,156.14,nan,nan
8,0.000000,147.63,nan,nan
9,0.000000,145.50,nan,nan
10,0.000000,137.26,nan,nan
11,0.000001,135.66,nan,nan
12,0.000002,127.41,nan,nan
13,0.000002,125.55,nan,nan
14,0.000004,121.03,nan,nan
15,0.000004,118.10,nan,nan
16,0.000005,111.45,nan,nan
17,0.000005,110.12,nan,nan
18,0.000008,104.01,nan,nan
19,0.000008,101.08,nan,nan
20,0.000008,101.08,nan,nan
21,0.000012,101.08,nan,nan
22,0.000012,101.08,nan,nan
23,0.000051,100.81,nan,nan
24,0.000053,92.83,nan,nan
25,0.000053,91.24,nan,nan
26,0.000059,85.39,nan,nan
27,0.000075,82.73,nan,nan
28,0.000075,78.74,nan,nan
29,0.000767,75.54,nan,nan
30,0.000935,66.77,nan,nan
31,0.001019,63.84,nan,nan
32,0.001039,59.32,nan,nan
33,0.012209,59.05,nan,nan
34,0.012222,56.92,nan,nan
35,0.012222,54.53,nan,nan
36,0.014961,52.93,nan,nan
37,0.014961,50.54,nan,nan
38,0.016532,44.69,nan,nan
39,0.016886,40.43,nan,nan
40,0.244669,38.57,nan,nan
41,0.274922,36.18,nan,nan
42,0.274922,33.78,nan,nan
43,0.299192,30.59,nan,nan
44,0.299192,28.20,nan,nan
45,0.313338,24.21,nan,nan
46,0.313338,21.81,nan,nan
