Name,Metric,Area(um^2),Power(uW),Delay(ns)
adder_2-0-7,0.005776,954.67,nan,4765.200000
adder_2-0-8,0.007577,842.69,nan,5033.740000
adder_2-0-9,0.007516,891.10,nan,4780.150000
adder_2-0-10,0.005663,913.71,nan,4800.660000
adder_2-0-11,0.005770,911.32,nan,4811.460000
adder_2-0-12,0.005667,909.45,nan,4822.880000
adder_2-0-13,0.005603,908.92,nan,4768.190000
adder_2-0-14,0.007454,838.17,nan,5056.850000
adder_2-0-15,0.005791,863.44,nan,5037.650000
adder_2-0-16,0.010344,823.80,nan,4990.550000
adder_2-0-17,0.007576,831.78,nan,5111.230000
adder_2-0-18,0.005794,911.32,nan,4958.900000
adder_2-0-19,0.011601,817.95,nan,4343.540000
adder_2-0-20,0.007483,929.94,nan,4847.330000
adder_2-0-21,0.007482,881.79,nan,4837.150000
adder_2-0-22,0.005726,879.40,nan,4980.240000
adder_2-0-23,0.005709,851.20,nan,5052.020000
adder_2-0-24,0.005740,866.36,nan,5031.070000
adder_2-0-25,0.007773,895.62,nan,4869.270000
adder_2-0-26,0.005651,929.14,nan,4883.820000
adder_2-0-27,0.007548,876.20,nan,4969.700000
adder_2-1-0,0.007488,839.50,nan,4944.990000
adder_2-1-1,0.007598,858.12,nan,4833.680000
adder_2-1-2,0.005845,881.26,nan,4863.410000
adder_2-1-3,0.007665,824.33,nan,4963.310000
adder_2-1-4,0.005809,894.03,nan,4995.160000
adder_2-1-5,0.011505,909.19,nan,4956.590000
adder_2-1-6,0.005789,859.98,nan,5018.420000
adder_2-1-7,0.005860,873.28,nan,4881.240000
adder_2-1-8,0.007661,857.85,nan,4983.710000
adder_2-1-9,0.007600,872.75,nan,4854.970000
adder_2-1-10,0.005747,860.78,nan,4903.870000
adder_2-1-11,0.005854,904.13,nan,4819.340000
adder_2-1-12,0.005783,897.22,nan,4832.060000
adder_2-1-13,0.005688,857.05,nan,4886.050000
adder_2-1-14,0.005773,842.95,nan,5006.650000
adder_2-1-15,0.005869,879.66,nan,4769.440000
adder_2-1-16,0.010436,913.98,nan,4584.900000
adder_2-1-17,0.007661,827.53,nan,4995.500000
adder_2-1-18,0.005878,881.26,nan,4842.220000
adder_2-1-19,0.011688,820.61,nan,4220.770000
adder_2-1-20,0.007589,840.29,nan,4850.320000
adder_2-1-21,0.007567,858.12,nan,5047.910000
adder_2-1-22,0.005811,938.98,nan,4863.000000
adder_2-1-23,0.005794,984.47,nan,4684.300000
adder_2-1-24,0.005824,883.92,nan,4990.200000
adder_2-1-25,0.007850,868.49,nan,4850.060000
adder_2-1-26,0.005735,883.65,nan,4891.360000
adder_2-1-27,0.005691,921.69,nan,4794.470000
adder_2-2-0,0.005743,994.04,nan,4776.190000
adder_2-2-1,0.007698,973.56,nan,4649.990000
adder_2-2-2,0.005880,1003.88,nan,4658.130000
adder_2-2-3,0.007703,967.44,nan,4648.740000
adder_2-2-4,0.005877,999.10,nan,4677.700000
adder_2-2-5,0.005875,992.98,nan,4698.190000
adder_2-2-6,0.005826,996.17,nan,4735.710000
adder_2-2-7,0.005895,961.59,nan,4927.100000
adder_2-2-8,0.007696,863.44,nan,5014.270000
adder_2-2-9,0.007635,985.00,nan,4697.040000
adder_2-2-10,0.005782,1007.61,nan,4717.550000
adder_2-2-11,0.005889,1005.21,nan,4728.970000
adder_2-2-12,0.005787,1003.35,nan,4739.770000
adder_2-2-13,0.005722,1002.82,nan,4685.080000
adder_2-2-14,0.007574,852.53,nan,5063.590000
adder_2-2-15,0.005911,881.79,nan,5050.520000
adder_2-2-16,0.010464,838.17,nan,4997.290000
adder_2-2-17,0.007695,846.15,nan,5117.960000
adder_2-2-18,0.005913,899.08,nan,4961.470000
