Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,1050.70,nan,nan,Org
0,0.001991,834.18,nan,4954.440000,adder_0-0-5
1,0.003765,841.36,nan,5064.470000,adder_1-1-26
2,0.005773,842.95,nan,5006.650000,adder_2-1-14
3,0.007622,856.79,nan,4865.590000,adder_3-2-12
